Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Nov 29 11:00:22 EST 2021,GeneralExpressionEvaluator.java,1638201622135,28834,0,(I)1(D)1(F)2(I)8,0.75,8.333333333333332,0.0,16.666666666666664,0.0,0.0,0.42857142857142855,0.0,0.03571428571428571,0.07142857142857142,0.0,0.0,0.32142857142857145,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Nov 29 11:00:22 EST 2021,GeneralExpressionEvaluator.java, 1638201622135
2,,Mon Nov 29 11:00:51 EST 2021,Runner.java,1638201651821,243451,0,(D)1(F)2(I)1(D)1(F)2(I)1(D)1(F)2,0.18181818181818182,27.27272727272727,0.0,54.54545454545454,0.0,0.0,0.04526748971193416,0.0,0.012345679012345678,0.024691358024691357,0.0,0.0,0.00823045267489712,0.0,[]
3,,Mon Nov 29 11:04:55 EST 2021,SetqEvaluator.java,1638201895272,64106,0,(F)2(I)1(F)6(I)1(F)1,0.18181818181818182,0.0,0.0,81.81818181818183,0.0,0.0,0.171875,0.0,0.0,0.140625,0.0,0.0,0.03125,0.0,[]
4,,Mon Nov 29 11:06:10 EST 2021,Grader.java,1638201970468,157037,0,(F)1(I)4(F)4(I)1(D)1(F)2(I)1,0.42857142857142855,7.142857142857142,0.0,50.0,0.0,0.0,0.08917197452229299,0.0,0.006369426751592357,0.044585987261146494,0.0,0.0,0.03821656050955414,0.0,[]
5,,Mon Nov 29 11:08:48 EST 2021,CurryEvaluator.java,1638202128879,1286910,0,(D)1(F)4(D)1(F)4(I)1,0.09090909090909091,18.181818181818183,0.0,72.72727272727273,0.0,0.0,0.008553654743390357,0.0,0.0015552099533437014,0.006220839813374806,0.0,0.0,7.776049766718507E-4,0.0,[]
6,,Mon Nov 29 11:30:15 EST 2021,CurryEvaluator.java,1638203415789,3274,3274,(I)22,1.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,[]
7,,Mon Nov 29 11:30:19 EST 2021,OperatorRegistry.java,1638203419549,16625,0,(F)2(I)11,0.8461538461538461,0.0,0.0,15.384615384615385,0.0,0.0,0.8125,0.0,0.0,0.125,0.0,0.0,0.6875,0.0,[]
8,,Mon Nov 29 11:30:36 EST 2021,CurryEvaluator.java,1638203436398,-1810004,-1810004,(I)12(R)1,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
9,,Mon Nov 29 11:00:42 EST 2021,CurryEvaluator.java,1638201642386,1807618,0,(I)2(R)1(I)7(F)2(I)3,0.8,0.0,0.0,13.333333333333334,0.0,0.0,0.008301051466519093,0.0,0.0,0.0011068068622025456,0.0,5.534034311012728E-4,0.006640841173215274,0.0,[]
10,,Mon Nov 29 11:30:52 EST 2021,CurryEvaluator.java,1638203452674,5788,5788,(I)1(R)1(I)20,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.2,4.2,0.0,[]
11,,Mon Nov 29 11:30:58 EST 2021,CurryEvaluator.java,1638203458522,5426,5426,(I)10(R)3(I)9,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.6,3.8,0.0,[]
12,,Mon Nov 29 11:31:04 EST 2021,CurryEvaluator.java,1638203464036,14256,0,(I)6(R)2(I)2(R)2(F)1,0.6153846153846154,0.0,0.0,7.6923076923076925,0.0,0.0,0.9285714285714286,0.0,0.0,0.07142857142857142,0.0,0.2857142857142857,0.5714285714285714,0.0,[]
13,,Mon Nov 29 11:31:18 EST 2021,CurryEvaluator.java,1638203478292,14441,0,(F)3(I)16(F)2(R)2,0.6956521739130435,0.0,0.0,21.73913043478261,0.0,0.0,1.6428571428571428,0.0,0.0,0.35714285714285715,0.0,0.14285714285714285,1.1428571428571428,0.0,[]
14,,Mon Nov 29 11:31:32 EST 2021,CurryEvaluator.java,1638203492883,6481,6481,(R)7(I)9(F)2(I)5,0.6086956521739131,0.0,0.0,8.695652173913043,0.0,0.0,3.8333333333333335,0.0,0.0,0.3333333333333333,0.0,1.1666666666666667,2.3333333333333335,0.0,[]
15,,Mon Nov 29 11:31:39 EST 2021,CurryEvaluator.java,1638203499370,8299,8299,(I)7(F)2(I)4(R)5(I)2,0.65,0.0,0.0,10.0,0.0,0.0,2.5,0.0,0.0,0.25,0.0,0.625,1.625,0.0,[]
16,,Mon Nov 29 11:31:47 EST 2021,CurryEvaluator.java,1638203507814,-9962,-9962,(I)3(R)5(I)5(R)1(I)3(R)2(I)1(R)1(I)2,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
17,,Mon Nov 29 11:31:38 EST 2021,CurryEvaluator.java,1638203498855,14354,0,(I)2(R)1(I)3(R)1(I)1(R)1(I)12,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.21428571428571427,1.2857142857142858,0.0,[]
18,,Mon Nov 29 11:31:53 EST 2021,CurryEvaluator.java,1638203513313,14885,0,(I)4(F)2(I)2(F)2(I)1(R)1(I)2,0.6428571428571429,0.0,0.0,28.57142857142857,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,0.6428571428571429,0.0,[]
19,,Mon Nov 29 11:32:08 EST 2021,CurryEvaluator.java,1638203528424,4023,4023,(I)2(R)1(I)22,0.96,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.25,6.0,0.0,[]
20,,Mon Nov 29 11:32:12 EST 2021,CurryEvaluator.java,1638203532547,-12855,-12855,(I)22(R)1(I)2,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
21,,Mon Nov 29 11:32:05 EST 2021,CurryEvaluator.java,1638203525346,24724,0,(I)1(R)1(I)1(R)1(I)15,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.7083333333333334,0.0,[]
