Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Nov 22 20:59:20 EST 2021,ClassRegistry.java,1637632760046,22726,0,(F)2(I)1(R)6(I)2,0.2727272727272727,0.0,0.0,18.181818181818183,0.0,0.0,0.5,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727,0.13636363636363635,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Nov 22 20:59:20 EST 2021,ClassRegistry.java, 1637632760046
2,,Mon Nov 22 20:59:42 EST 2021,ClassRegistry.java,1637632782773,9071,9071,(I)4(R)5,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,[]
3,,Mon Nov 22 20:59:52 EST 2021,ClassRegistry.java,1637632792006,100838,0,(F)4(I)1(F)4,0.1111111111111111,0.0,0.0,88.88888888888889,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.01,0.0,[]
4,,Mon Nov 22 21:01:35 EST 2021,Grader.java,1637632895375,27105,0,(F)2(I)2(R)1(I)1(F)2(I)3,0.5454545454545454,0.0,0.0,36.36363636363637,0.0,0.0,0.4074074074074074,0.0,0.0,0.14814814814814814,0.0,0.037037037037037035,0.2222222222222222,0.0,[]
5,,Mon Nov 22 21:02:02 EST 2021,Grader.java,1637632922813,103130,0,(R)1(D)1(F)3(D)5,0.0,60.0,0.0,30.0,0.0,0.0,0.0970873786407767,0.0,0.05825242718446602,0.02912621359223301,0.0,0.009708737864077669,0.0,0.0,[]
6,,Mon Nov 22 21:03:45 EST 2021,Grader.java,1637633025976,59316,0,(D)2(F)1(D)1(F)1(D)5,0.0,80.0,0.0,20.0,0.0,0.0,0.1694915254237288,0.0,0.13559322033898305,0.03389830508474576,0.0,0.0,0.0,0.0,[]
7,,Mon Nov 22 21:04:45 EST 2021,Environmentt.java,1637633085345,208635,0,(D)5(F)3,0.0,62.5,0.0,37.5,0.0,0.0,0.038461538461538464,0.0,0.02403846153846154,0.014423076923076924,0.0,0.0,0.0,0.0,[]
8,,Mon Nov 22 21:08:13 EST 2021,Environmentt.java,1637633293983,18657,0,(I)1(F)2(I)1(F)2(I)8,0.7142857142857143,0.0,0.0,28.57142857142857,0.0,0.0,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0,0.0,0.5555555555555556,0.0,[]
9,,Mon Nov 22 21:08:32 EST 2021,Environmentt.java,1637633312763,11378,0,(I)17,1.0,0.0,0.0,0.0,0.0,0.0,1.5454545454545454,0.0,0.0,0.0,0.0,0.0,1.5454545454545454,0.0,[]
