Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sun Nov 07 15:20:54 EST 2021,Runner.java,1636316454238,36684,0,(I)9(D)1(F)2(I)1(D)1,0.7142857142857143,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.3888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.2777777777777778,0.0,[]
,/modelData/A0UserStudy2010.arff,Sun Nov 07 15:20:54 EST 2021,Runner.java, 1636316454238
2,,Sun Nov 07 15:21:31 EST 2021,Grader.java,1636316491461,33438,0,(I)2(D)1(I)2(D)1(F)2(I)3,0.6363636363636364,18.181818181818183,0.0,18.181818181818183,0.0,0.0,0.3333333333333333,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.21212121212121213,0.0,[]
3,,Sun Nov 07 15:22:05 EST 2021,Grader.java,1636316525065,26726,0,(I)11(F)2,0.8461538461538461,0.0,0.0,15.384615384615385,0.0,0.0,0.5,0.0,0.0,0.07692307692307693,0.0,0.0,0.4230769230769231,0.0,[]
4,,Sun Nov 07 15:22:31 EST 2021,ClassRegistry.java,1636316551791,-114806,-114806,(I)3(R)1(D)1(F)2(I)1,0.5,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Sun Nov 07 15:20:47 EST 2021,ClassRegistry.java,1636316447524,144086,0,(I)4(R)1(I)3(R)1(I)1(R)1(I)7(R)1(I)2,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,0.0,0.0,0.0,0.0,0.027777777777777776,0.11805555555555555,0.0,[]
6,,Sun Nov 07 15:23:11 EST 2021,ClassRegistry.java,1636316591725,4976,4976,(I)1(R)1(I)6(R)8(I)8,0.625,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.25,3.75,0.0,[]
7,,Sun Nov 07 15:23:16 EST 2021,ClassRegistry.java,1636316596819,16342,0,(I)9(R)1(I)5,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0625,0.875,0.0,[]
8,,Sun Nov 07 15:23:33 EST 2021,ClassRegistry.java,1636316613396,15811,0,(I)15(R)1(I)1,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,1.0666666666666667,0.0,[]
9,,Sun Nov 07 15:23:49 EST 2021,ClassRegistry.java,1636316629356,5455,5455,(I)18(R)1,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.2,3.6,0.0,[]
10,,Sun Nov 07 15:23:55 EST 2021,ClassRegistry.java,1636316635940,5494,5494,(I)20,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,[]
11,,Sun Nov 07 15:24:01 EST 2021,ClassRegistry.java,1636316641532,11259,0,(I)3(R)1(I)16,0.95,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.09090909090909091,1.7272727272727273,0.0,[]
12,,Sun Nov 07 15:24:13 EST 2021,ClassRegistry.java,1636316653189,-1915,-1915,(I)1(R)1(I)1(R)1(I)2(R)1(I)3(R)1(I)3(R)1(I)3(R)1(I)2,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
13,,Sun Nov 07 15:24:13 EST 2021,ClassRegistry.java,1636316653192,6331,6331,(I)1(R)1(I)8(R)1(I)13,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.6666666666666665,0.0,[]
14,,Sun Nov 07 15:24:19 EST 2021,ClassRegistry.java,1636316659780,4424,4424,(R)8(I)12,0.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,[]
15,,Sun Nov 07 15:24:24 EST 2021,ClassRegistry.java,1636316664344,5959,5959,(I)2(R)1(I)16,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.2,3.6,0.0,[]
16,,Sun Nov 07 15:24:30 EST 2021,ClassRegistry.java,1636316670473,5922,5922,(I)4(R)1(I)16(R)3(I)1,0.84,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.8,4.2,0.0,[]
17,,Sun Nov 07 15:24:36 EST 2021,ClassRegistry.java,1636316676515,7098,7098,(I)7(R)1(I)11,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.0,0.0,0.0,0.0,0.14285714285714285,2.5714285714285716,0.0,[]
18,,Sun Nov 07 15:24:43 EST 2021,Grader.java,1636316683721,23698,0,(I)9(D)1(F)1,0.8181818181818182,9.090909090909092,0.0,9.090909090909092,0.0,0.0,0.4782608695652174,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.391304347826087,0.0,[]
19,,Sun Nov 07 15:25:09 EST 2021,CondEvaluator.java,1636316709710,-49933,-49933,(D)1(F)2(I)1(F)1(I)4(R)3,0.4166666666666667,8.333333333333332,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
20,,Sun Nov 07 15:24:20 EST 2021,CondEvaluator.java,1636316660949,94778,0,(I)2(R)1(I)3(R)1(I)2(R)1(I)2(R)1(I)4(R)1,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.0,0.0,0.0,0.0,0.05319148936170213,0.13829787234042554,0.0,[]
21,,Sun Nov 07 15:25:56 EST 2021,Runner.java,1636316756826,20664,0,(I)2(D)1(I)1(R)1(D)1(I)1,0.5714285714285714,28.57142857142857,0.0,0.0,0.0,0.0,0.35,0.0,0.1,0.0,0.0,0.05,0.2,0.0,[]
22,,Sun Nov 07 15:26:17 EST 2021,CondEvaluator.java,1636316777543,72504,0,(F)4(I)3,0.42857142857142855,0.0,0.0,57.14285714285714,0.0,0.0,0.09722222222222222,0.0,0.0,0.05555555555555555,0.0,0.0,0.041666666666666664,0.0,[]
23,,Sun Nov 07 15:27:30 EST 2021,CondEvaluator.java,1636316850051,7066,7066,(I)18,1.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,0.0,[]
24,,Sun Nov 07 15:27:37 EST 2021,CondEvaluator.java,1636316857155,4407,4407,(I)19,1.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,4.75,0.0,[]
25,,Sun Nov 07 15:27:41 EST 2021,CondEvaluator.java,1636316861603,2937,2937,(I)13(R)3(I)9,0.88,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.5,11.0,0.0,[]
26,,Sun Nov 07 15:27:44 EST 2021,ClassRegistry.java,1636316864863,48598,0,(I)1(R)1(I)7(D)1(I)1(D)1(F)2,0.6428571428571429,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.2916666666666667,0.0,0.041666666666666664,0.041666666666666664,0.0,0.020833333333333332,0.1875,0.0,[]
27,,Sun Nov 07 15:28:33 EST 2021,CondEvaluator.java,1636316913577,293559,0,(I)4(F)2(I)3(R)1(I)1,0.7272727272727273,0.0,0.0,18.181818181818183,0.0,0.0,0.03754266211604096,0.0,0.0,0.006825938566552901,0.0,0.0034129692832764505,0.027303754266211604,0.0,[]
28,,Sun Nov 07 15:33:27 EST 2021,CondEvaluator.java,1636317207481,-5,-5,(I)4(R)1(I)7(R)1(I)1(R)1(I)2(R)1(I)1,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
29,,Sun Nov 07 15:33:27 EST 2021,CondEvaluator.java,1636317207915,64383,0,(I)1(R)1(D)1(F)2(D)1(F)3,0.1111111111111111,22.22222222222222,0.0,55.55555555555556,0.0,0.0,0.140625,0.0,0.03125,0.078125,0.0,0.015625,0.015625,0.0,[]
30,,Sun Nov 07 15:34:32 EST 2021,CondEvaluator.java,1636317272298,110918,0,(F)1(D)1(F)4(D)1(F)4,0.0,18.181818181818183,0.0,81.81818181818183,0.0,0.0,0.1,0.0,0.01818181818181818,0.08181818181818182,0.0,0.0,0.0,0.0,[]
